"MUNICIPIO","CTY","INDUSTRIA","NAICS","UNIDADES","EMPLEO PROMEDIO","SALARIO TOTAL","Promedio","","","","","","","","","",""
"Aguas Buenas","7","Industrias Manufactureras Misceláneas    ","339","0","0","0","0","","","","","","","","","",""
"Aguas Buenas","7","Comercio al por Mayor                    ","42","8","  24 ","  97,147 ","  4,105 ","","","","","","","","","",""
"Aguas Buenas","7","Comercio al Detal                        ","44-45","31","  319 ","  1,449,778 ","  4,545 ","","","","","","","","","",""
"Aguas Buenas","7","Transportación y Almacenamiento           ","48-49","6","  8 ","  104,444 ","  13,056 ","","","","","","","","","",""
"Aguas Buenas","7","Información                              ","51","1","*","*","*","","","","","","","","","",""
"Aguas Buenas","7","Finanzas y Seguros                       ","52","3","  50 ","  388,835 ","  7,777 ","","","","","","","","","",""
"Aguas Buenas","7","Bienes Raíces, Renta o Arrendamiento     ","53","5","  14 ","  38,806 ","  2,839 ","","","","","","","","","",""
"Aguas Buenas","7","Servicios Profesionales y Técnicos       ","54","7","  21 ","  144,337 ","  6,984 ","","","","","","","","","",""
"Aguas Buenas","7","Gerencia de Compañías y Empresas         ","55","0","0","0","0","","","","","","","","","",""
"Aguas Buenas","7","Servicios Adm. y Desperdicios Sólidos    ","56","2","*","*","*","","","","","","","","","",""
"Aguas Buenas","7","Servicios Educativos                     ","61","3","  313 ","  2,012,810 ","  6,431 ","","","","","","","","","",""
"Aguas Buenas","7","Servicios de Salud y Asistencia Social   ","62","25","  88 ","  528,541 ","  6,029 ","","","","","","","","","",""
"Aguas Buenas","7","Arte, Entretenimiento y Recreación       ","71","3","  26 ","  100,884 ","  3,880 ","","","","","","","","","",""
"Aguas Buenas","7","Alojamiento y Servicios de Alimentos     ","72","9","  50 ","  137,430 ","  2,767 ","","","","","","","","","",""
"Aguas Buenas","7","Otros Servicios Excepto Adm. Pública     ","81","7","  10 ","  30,700 ","  2,971 ","","","","","","","","","",""
