"MUNICIPIO","CTY","INDUSTRIA","NAICS","UNIDADES","EMPLEO PROMEDIO","SALRIO Total Municipio Segundo Trimestre 2019","Promedio"
"Añasco","11","Construcción                             ","23","11","62","270603","4341"
"Añasco","11","Manufactura                              ","31-33","27","2349","27463955","11692"
"Añasco","11","Alimentos                                ","311","9","47","100183","2117"
"Añasco","11","Productos de Tabaco y Bebidas            ","312","0","0","0","0"
"Añasco","11","Textiles                                 ","313","0","0","0","0"
"Añasco","11","Productos Textiles Excepto Ropa          ","314","0","0","0","0"
"Añasco","11","Ropa                                     ","315","0","0","0","0"
"Añasco","11","Cuero y Productos Relacionados           ","316","0","0","0","0"
"Añasco","11","Productos de Madera                      ","321","0","0","0","0"
"Añasco","11","Papel                                    ","322","0","0","0","0"
"Añasco","11","Imprenta e Industrias Relacionadas       ","323","2","*","*","*"
"Añasco","11","Productos de Petróleo y Carbón           ","324","0","0","0","0"
"Añasco","11","Productos Químicos                       ","325","0","0","0","0"
"Añasco","11","Productos de Goma y Plásticos            ","326","1","*","*","*"
"Añasco","11","Productos Minerales no Metálicos         ","327","0","0","0","0"
"Añasco","11","Industrias de Materiales Primarios       ","331","0","0","0","0"
"Añasco","11","Productos de Metal                       ","332","6","51","225679","4425"
"Añasco","11","Maquinaria                               ","333","0","0","0","0"
"Añasco","11","Computadora y Productos Electrónicos    ","334","0","0","0","0"
"Añasco","11","Equipo y Aparatos Eléctricos             ","335","1","*","*","*"
"Añasco","11","Equipo de Transportación                 ","336","0","0","0","0"
"Añasco","11","Muebles y Productos Relacionados         ","337","1","*","*","*"
"Añasco","11","Industrias Manufactureras Misceláneas    ","339","7","2025","25235509","12464"
"Añasco","11","Comercio al por Mayor                    ","42","10","101","800512","7926"
"Añasco","11","Comercio al Detal                        ","44-45","46","470","2232126","4746"
"Añasco","11","Transportación y Almacenamiento           ","48-49","4","38","358748","9441"
"Añasco","11","Información                              ","51","3","17","207288","12193"
"Añasco","11","Finanzas y Seguros                       ","52","5","90","853054","9443"
"Añasco","11","Bienes Raíces, Renta o Arrendamiento     ","53","10","24","134041","5664"
"Añasco","11","Servicios Profesionales y Técnicos       ","54","11","30","259699","8754"
"Añasco","11","Gerencia de Companías y Empresas         ","55","0","0","0","0"
"Añasco","11","Servicios Adm. y Desperdicios Sólidos    ","56","5","7","34174","4882"
"Añasco","11","Servicios Educativos                     ","61","4","351","2302999","6567"
"Añasco","11","Servicios de Salud y Asistencia Social   ","62","46","239","1084792","4545"
"Añasco","11","Arte, Entretenimiento y Recreación       ","71","1","*","*","*"
"Añasco","11","Alojamiento y Servicios de Alimentos     ","72","32","441","1256489","2849"
"Añasco","11","Otros Servicios Excepto Adm. Pública     ","81","24","61","223292","3641"
"Añasco","11","Administración Pública                   ","92","12","507","2162380","4262"
"Añasco","11","Otros (Establecimientos no Clasificados) ","99","0","0","0","0"
"Arecibo","13","Total Municipio Cuarto Trimestre 2020 ","","1,083","20592","149050378","7238"
"Arecibo","13","Agricultura, Bosque, Pesca y Caza        ","11","62","429","1329142","3098"
"Arecibo","13","Mineria                                  ","21","2","*","*","*"
"Arecibo","13","Electricidad, Agua y Gas                 ","22","3","509","5613609","11029"
"Arecibo","13","Construcción                             ","23","48","531","2696858","5079"
"Arecibo","13","Manufactura                              ","31-33","43","2806","26665307","9503"
"Arecibo","13","Alimentos                                ","311","20","341","1750164","5132"
"Arecibo","13","Productos de Tabaco y Bebidas            ","312","1","*","*","*"
"Arecibo","13","Textiles                                 ","313","0","0","0","0"
"Arecibo","13","Productos Textiles Excepto Ropa          ","314","0","0","0","0"
"Arecibo","13","Ropa                                     ","315","1","*","*","*"
"Arecibo","13","Cuero y Productos Relacionados           ","316","1","*","*","*"
"Arecibo","13","Productos de Madera                      ","321","0","0","0","0"
"Arecibo","13","Papel                                    ","322","1","*","*","*"
"Arecibo","13","Imprenta e Industrias Relacionadas       ","323","1","*","*","*"
"Arecibo","13","Productos de Petróleo y Carbón           ","324","0","0","0","0"
"Arecibo","13","Productos Químicos                       ","325","1","*","*","*"
"Arecibo","13","Productos de Goma y Plásticos            ","326","1","*","*","*"
"Arecibo","13","Productos Minerales no Metálicos         ","327","2","*","*","*"
"Arecibo","13","Industrias de Materiales Primarios       ","331","1","*","*","*"
"Arecibo","13","Productos de Metal                       ","332","5","11","53203","4694"
"Arecibo","13","Maquinaria                               ","333","1","*","*","*"
"Arecibo","13","Computadora y Productos Electrónicos    ","334","1","*","*","*"
"Arecibo","13","Equipo y Aparatos Eléctricos             ","335","2","*","*","*"
"Arecibo","13","Equipo de Transportación                 ","336","0","0","0","0"
"Arecibo","13","Muebles y Productos Relacionados         ","337","3","5","131423","26285"
"Arecibo","13","Industrias Manufactureras Misceláneas    ","339","1","*","*","*"
"Arecibo","13","Comercio al por Mayor                    ","42","40","197","1493278","7567"
"Arecibo","13","Comercio al Detal                        ","44-45","233","2233","12546825","5619"
"Arecibo","13","Transportación y Almacenamiento           ","48-49","26","234","2618768","11175"
"Arecibo","13","Información                              ","51","12","139","1153148","8276"
"Arecibo","13","Finanzas y Seguros                       ","52","31","518","5191463","10022"
"Arecibo","13","Bienes Raíces, Renta o Arrendamiento     ","53","27","83","601831","7222"
"Arecibo","13","Servicios Profesionales y Técnicos       ","54","67","319","2922527","9171"
"Arecibo","13","Gerencia de Companías y Empresas         ","55","2","*","*","*"
"Arecibo","13","Servicios Adm. y Desperdicios Sólidos    ","56","30","353","2111843","5983"
"Arecibo","13","Servicios Educativos                     ","61","18","2836","22151494","7810"
"Arecibo","13","Servicios de Salud y Asistencia Social   ","62","248","3755","24654156","6566"
"Arecibo","13","Arte, Entretenimiento y Recreación       ","71","5","39","131333","3397"
"Arecibo","13","Alojamiento y Servicios de Alimentos     ","72","95","1113","3043665","2735"
"Arecibo","13","Otros Servicios Excepto Adm. Pública     ","81","52","243","865462","3557"
"Arecibo","13","Administración Pública                   ","92","39","4155","32839962","7904"
"Arecibo","13","Otros (Establecimientos no Clasificados) ","99","0","0","0","0"
"Arroyo","15","Total Municipio Cuarto Trimestre 2020 ","","102","2458","18583139","7559"
"Arroyo","15","Agricultura, Bosque, Pesca y Caza        ","11","5","6","15110","2518"
"Arroyo","15","Mineria                                  ","21","0","0","0","0"
"Arroyo","15","Electricidad, Agua y Gas                 ","22","0","0","0","0"
"Arroyo","15","Construcción                             ","23","6","16","30033","1877"
"Arroyo","15","Manufactura                              ","31-33","6","*","*","*"
"Arroyo","15","Alimentos                                ","311","0","0","0","0"
"Arroyo","15","Productos de Tabaco y Bebidas            ","312","0","0","0","0"
"Arroyo","15","Textiles                                 ","313","0","0","0","0"
"Arroyo","15","Productos Textiles Excepto Ropa          ","314","0","0","0","0"
"Arroyo","15","Ropa                                     ","315","1","*","*","*"
"Arroyo","15","Cuero y Productos Relacionados           ","316","0","0","0","0"
"Arroyo","15","Productos de Madera                      ","321","0","0","0","0"
"Arroyo","15","Papel                                    ","322","0","0","0","0"
"Arroyo","15","Imprenta e Industrias Relacionadas       ","323","0","0","0","0"
"Arroyo","15","Productos de Petróleo y Carbón           ","324","0","0","0","0"
"Arroyo","15","Productos Químicos                       ","325","1","*","*","*"
"Arroyo","15","Productos de Goma y Plásticos            ","326","0","0","0","0"
"Arroyo","15","Productos Minerales no Metálicos         ","327","1","*","*","*"
"Arroyo","15","Industrias de Materiales Primarios       ","331","0","0","0","0"
"Arroyo","15","Productos de Metal                       ","332","0","0","0","0"
"Arroyo","15","Maquinaria                               ","333","1","*","*","*"
"Arroyo","15","Computadora y Productos Electrónicos    ","334","0","0","0","0"
"Arroyo","15","Equipo y Aparatos Eléctricos             ","335","1","*","*","*"
"Arroyo","15","Equipo de Transportación                 ","336","0","0","0","0"
"Arroyo","15","Muebles y Productos Relacionados         ","337","0","0","0","0"
"Arroyo","15","Industrias Manufactureras Misceláneas    ","339","1","*","*","*"
"Arroyo","15","Comercio al por Mayor                    ","42","0","0","0","0"
"Arroyo","15","Comercio al Detal                        ","44-45","21","462","1865808","4041"
"Arroyo","15","Transportación y Almacenamiento           ","48-49","1","*","*","*"
"Arroyo","15","Información                              ","51","1","*","*","*"
"Arroyo","15","Finanzas y Seguros                       ","52","2","*","*","*"
"Arroyo","15","Bienes Raíces, Renta o Arrendamiento     ","53","5","8","45805","5726"
"Arroyo","15","Servicios Profesionales y Técnicos       ","54","2","*","*","*"
"Arroyo","15","Gerencia de Companías y Empresas         ","55","0","0","0","0"
"Arroyo","15","Servicios Adm. y Desperdicios Sólidos    ","56","1","*","*","*"
"Arroyo","15","Servicios Educativos                     ","61","3","274","1998159","7301"
"Arroyo","15","Servicios de Salud y Asistencia Social   ","62","17","164","1402132","8550"
