town_code,naics,establishments,year,town_name,region
3,31,13.0,2013,Aguada,Western
3,31,13.0,2013,Aguada,Western
3,31,10.0,2013,Aguada,Western
3,31,3.0,2013,Aguada,Western
3,31,1.0,2013,Aguada,Western
3,31,1.0,2013,Aguada,Western
3,31,1.0,2013,Aguada,Western
3,31,1.0,2013,Aguada,Western
3,31,2.0,2013,Aguada,Western
3,31,1.0,2013,Aguada,Western
3,31,1.0,2013,Aguada,Western
3,31,1.0,2013,Aguada,Western
3,31,1.0,2013,Aguada,Western
3,31,1.0,2013,Aguada,Western
3,31,1.0,2013,Aguada,Western
3,32,1.0,2013,Aguada,Western
3,32,1.0,2013,Aguada,Western
3,32,1.0,2013,Aguada,Western
3,32,1.0,2013,Aguada,Western
3,32,1.0,2013,Aguada,Western
3,32,1.0,2013,Aguada,Western
3,32,1.0,2013,Aguada,Western
3,32,1.0,2013,Aguada,Western
3,32,2.0,2013,Aguada,Western
3,32,2.0,2013,Aguada,Western
3,32,2.0,2013,Aguada,Western
3,32,2.0,2013,Aguada,Western
3,33,3.0,2013,Aguada,Western
3,33,2.0,2013,Aguada,Western
3,33,2.0,2013,Aguada,Western
3,33,1.0,2013,Aguada,Western
3,33,1.0,2013,Aguada,Western
3,33,1.0,2013,Aguada,Western
3,33,1.0,2013,Aguada,Western
3,33,1.0,2013,Aguada,Western
3,33,5.0,2013,Aguada,Western
3,33,5.0,2013,Aguada,Western
3,33,5.0,2013,Aguada,Western
3,33,5.0,2013,Aguada,Western
3,42,11.0,2013,Aguada,Western
3,42,7.0,2013,Aguada,Western
3,42,1.0,2013,Aguada,Western
3,42,1.0,2013,Aguada,Western
3,42,1.0,2013,Aguada,Western
3,42,2.0,2013,Aguada,Western
3,42,1.0,2013,Aguada,Western
3,42,1.0,2013,Aguada,Western
3,42,1.0,2013,Aguada,Western
3,42,1.0,2013,Aguada,Western
3,42,2.0,2013,Aguada,Western
3,42,1.0,2013,Aguada,Western
3,42,1.0,2013,Aguada,Western
3,42,1.0,2013,Aguada,Western
3,42,1.0,2013,Aguada,Western
3,42,1.0,2013,Aguada,Western
3,42,1.0,2013,Aguada,Western
3,42,1.0,2013,Aguada,Western
3,42,1.0,2013,Aguada,Western
3,42,1.0,2013,Aguada,Western
3,42,1.0,2013,Aguada,Western
3,42,4.0,2013,Aguada,Western
3,42,1.0,2013,Aguada,Western
3,42,1.0,2013,Aguada,Western
3,42,1.0,2013,Aguada,Western
3,42,2.0,2013,Aguada,Western
3,42,1.0,2013,Aguada,Western
3,42,1.0,2013,Aguada,Western
3,42,1.0,2013,Aguada,Western
3,42,1.0,2013,Aguada,Western
3,42,1.0,2013,Aguada,Western
3,42,1.0,2013,Aguada,Western
3,42,1.0,2013,Aguada,Western
3,44,151.0,2013,Aguada,Western
3,44,31.0,2013,Aguada,Western
3,44,12.0,2013,Aguada,Western
3,44,6.0,2013,Aguada,Western
3,44,6.0,2013,Aguada,Western
3,44,6.0,2013,Aguada,Western
3,44,6.0,2013,Aguada,Western
3,44,2.0,2013,Aguada,Western
3,44,2.0,2013,Aguada,Western
3,44,2.0,2013,Aguada,Western
3,44,17.0,2013,Aguada,Western
3,44,12.0,2013,Aguada,Western
3,44,12.0,2013,Aguada,Western
3,44,5.0,2013,Aguada,Western
3,44,5.0,2013,Aguada,Western
3,44,3.0,2013,Aguada,Western
3,44,3.0,2013,Aguada,Western
3,44,3.0,2013,Aguada,Western
3,44,3.0,2013,Aguada,Western
3,44,4.0,2013,Aguada,Western
3,44,4.0,2013,Aguada,Western
3,44,4.0,2013,Aguada,Western
3,44,1.0,2013,Aguada,Western
3,44,3.0,2013,Aguada,Western
3,44,20.0,2013,Aguada,Western
3,44,18.0,2013,Aguada,Western
3,44,3.0,2013,Aguada,Western
3,44,3.0,2013,Aguada,Western
3,44,1.0,2013,Aguada,Western
3,44,1.0,2013,Aguada,Western
3,44,11.0,2013,Aguada,Western
3,44,11.0,2013,Aguada,Western
3,44,3.0,2013,Aguada,Western
3,44,3.0,2013,Aguada,Western
3,44,2.0,2013,Aguada,Western
3,44,1.0,2013,Aguada,Western
3,44,1.0,2013,Aguada,Western
3,44,1.0,2013,Aguada,Western
3,44,1.0,2013,Aguada,Western
3,44,19.0,2013,Aguada,Western
3,44,12.0,2013,Aguada,Western
3,44,12.0,2013,Aguada,Western
3,44,12.0,2013,Aguada,Western
3,44,7.0,2013,Aguada,Western
3,44,7.0,2013,Aguada,Western
3,44,7.0,2013,Aguada,Western
3,44,22.0,2013,Aguada,Western
3,44,22.0,2013,Aguada,Western
3,44,15.0,2013,Aguada,Western
3,44,15.0,2013,Aguada,Western
3,44,2.0,2013,Aguada,Western
3,44,2.0,2013,Aguada,Western
3,44,2.0,2013,Aguada,Western
3,44,2.0,2013,Aguada,Western
3,44,3.0,2013,Aguada,Western
3,44,1.0,2013,Aguada,Western
3,44,2.0,2013,Aguada,Western
3,44,12.0,2013,Aguada,Western
3,44,12.0,2013,Aguada,Western
3,44,5.0,2013,Aguada,Western
3,44,5.0,2013,Aguada,Western
3,44,7.0,2013,Aguada,Western
3,44,7.0,2013,Aguada,Western
3,44,19.0,2013,Aguada,Western
3,44,13.0,2013,Aguada,Western
3,44,3.0,2013,Aguada,Western
3,44,3.0,2013,Aguada,Western
3,44,4.0,2013,Aguada,Western
3,44,4.0,2013,Aguada,Western
3,44,1.0,2013,Aguada,Western
3,44,1.0,2013,Aguada,Western
3,44,3.0,2013,Aguada,Western
3,44,3.0,2013,Aguada,Western
3,44,2.0,2013,Aguada,Western
3,44,2.0,2013,Aguada,Western
3,44,4.0,2013,Aguada,Western
3,44,4.0,2013,Aguada,Western
3,44,4.0,2013,Aguada,Western
3,44,2.0,2013,Aguada,Western
