"MUNICIPIO","CTY","INDUSTRIA","NAICS","UNIDADES","EMPLEO PROMEDIO","SALARIO TOTAL","Promedio"
"Arecibo","13","Servicios de Salud y Asistencia Social   ","62","252","  3,648 ","  20,149,130 ","  5,523 "
"Arecibo","13","Arte, Entretenimiento y Recreación       ","71","8","  62 ","  157,314 ","  2,537 "
"Arecibo","13","Alojamiento y Servicios de Alimentos     ","72","92","  1,059 ","  2,687,028 ","  2,538 "
"Arecibo","13","Otros Servicios Excepto Adm. Pública     ","81","54","  240 ","  814,916 ","  3,400 "
"Arecibo","13","Administracion Pública                   ","92","39","  4,162 ","  29,806,811 ","  7,162 "
"Arecibo","13","Otros (Establecimientos no Clasificados) ","99","0","0","0","0"
"Arroyo","15","Total Municipio Primer Trimestre 2020","11","100","  2,504 ","  18,749,820 ","  7,488 "
"Arroyo","15","Agricultura, Bosque, Pesca y Caza        ","11","3","  8 ","  20,022 ","  2,403 "
"Arroyo","15","Mineria                                  ","21","0","0","0","0"
"Arroyo","15","Electricidad, Agua y Gas                 ","22","0","0","0","0"
"Arroyo","15","Construcción                             ","23","5","  13 ","  25,690 ","  1,976 "
"Arroyo","15","Manufactura                              ","31-33","7","*","*","*"
"Arroyo","15","Alimentos                                ","311","0","0","0","0"
"Arroyo","15","Productos de Tabaco y Bebidas            ","312","0","0","0","0"
"Arroyo","15","Textiles                                 ","313","0","0","0","0"
"Arroyo","15","Productos Textiles Excepto Ropa          ","314","0","0","0","0"
"Arroyo","15","Ropa                                     ","315","1","*","*","*"
"Arroyo","15","Cuero y Productos Relacionados           ","316","0","0","0","0"
"Arroyo","15","Productos de Madera                      ","321","0","0","0","0"
"Arroyo","15","Papel                                    ","322","0","0","0","0"
"Arroyo","15","Imprenta e Industrias Relacionadas       ","323","0","0","0","0"
"Arroyo","15","Productos de Petróleo y Carbón           ","324","0","0","0","0"
"Arroyo","15","Productos Químicos                       ","325","1","*","*","*"
"Arroyo","15","Productos de Goma y Plásticos            ","326","0","0","0","0"
"Arroyo","15","Productos Minerales no Metálicos         ","327","1","*","*","*"
"Arroyo","15","Industrias de Materiales Primarios       ","331","0","0","0","0"
"Arroyo","15","Productos de Metal                       ","332","1","*","*","*"
"Arroyo","15","Maquinaria                               ","333","1","*","*","*"
"Arroyo","15","Computadora y Productos Electrónicos    ","334","0","0","0","0"
"Arroyo","15","Equipo y Aparatos Eléctricos             ","335","1","*","*","*"
"Arroyo","15","Equipo de Transportación                 ","336","0","0","0","0"
"Arroyo","15","Muebles y Productos Relacionados         ","337","0","0","0","0"
"Arroyo","15","Industrias Manufactureras Misceláneas    ","339","1","*","*","*"
"Arroyo","15","Comercio al por Mayor                    ","42","0","0","0","0"
"Arroyo","15","Comercio al Detal                        ","44-45","20","  439 ","  1,685,609 ","  3,837 "
"Arroyo","15","Transportación y Almacenamiento           ","48-49","1","*","*","*"
"Arroyo","15","Información                              ","51","1","*","*","*"
"Arroyo","15","Finanzas y Seguros                       ","52","2","*","*","*"
"Arroyo","15","Bienes Raíces, Renta o Arrendamiento     ","53","6","  7 ","  38,460 ","  5,494 "
"Arroyo","15","Servicios Profesionales y Técnicos       ","54","2","*","*","*"
"Arroyo","15","Gerencia de Compañías y Empresas         ","55","0","0","0","0"
"Arroyo","15","Servicios Adm. y Desperdicios Sólidos    ","56","2","*","*","*"
