"MUNICIPIO","CTY","INDUSTRIA","NAICS","UNIDADES","EMPLEO PROMEDIO","SALARIO Total Municipio Tercer Trimestre 2022","Promedio"
"Aibonito","9","Industrias Manufactureras Misceláneas    ","339","1","*","*","*"
"Aibonito","9","Comercio al por Mayor                    ","42","9","71","545503","7647"
"Aibonito","9","Comercio al Detal                        ","44-45","82","705","3662585","5198"
"Aibonito","9","Transportación y Almacenamiento           ","48-49","7","49","253232","5168"
"Aibonito","9","Información                              ","51","1","*","*","*"
"Aibonito","9","Finanzas y Seguros                       ","52","10","163","1679026","10322"
"Aibonito","9","Bienes Raíces, Renta o Arrendamiento     ","53","2","*","*","*"
"Aibonito","9","Servicios Profesionales y Técnicos       ","54","27","74","606371","8157"
"Aibonito","9","Gerencia de Companías y Empresas         ","55","0","0","0","0"
"Aibonito","9","Servicios Adm. y Desperdicios Sólidos    ","56","7","*","*","*"
"Aibonito","9","Servicios Educativos                     ","61","3","477","4354013","9128"
"Aibonito","9","Servicios de Salud y Asistencia Social   ","62","63","1656","13858184","8367"
"Aibonito","9","Arte, Entretenimiento y Recreación       ","71","0","0","0","0"
"Aibonito","9","Alojamiento y Servicios de Alimentos     ","72","32","350","1044723","2985"
"Aibonito","9","Otros Servicios Excepto Adm. Pública     ","81","17","47","214232","4526"
"Aibonito","9","Administración Pública                   ","92","14","744","6096251","8194"
"Aibonito","9","Otros (Establecimientos no Clasificados) ","99","0","0","0","0"
"Añasco","11","Total Municipio Cuarto Trimestre 2022 ","","306","6665","53096259","7966"
"Añasco","11","Agricultura, Bosque, Pesca y Caza        ","11","14","25","48914","1983"
"Añasco","11","Mineria                                  ","21","1","*","*","*"
"Añasco","11","Electricidad, Agua y Gas                 ","22","1","*","*","*"
"Añasco","11","Construcción                             ","23","17","88","498707","5689"
"Añasco","11","Manufactura                              ","31-33","33","3291","33228483","10097"
"Añasco","11","Alimentos                                ","311","11","50","136360","2727"
"Añasco","11","Productos de Tabaco y Bebidas            ","312","0","0","0","0"
"Añasco","11","Textiles                                 ","313","0","0","0","0"
"Añasco","11","Productos Textiles Excepto Ropa          ","314","0","0","0","0"
"Añasco","11","Ropa                                     ","315","1","*","*","*"
"Añasco","11","Cuero y Productos Relacionados           ","316","0","0","0","0"
"Añasco","11","Productos de Madera                      ","321","0","0","0","0"
"Añasco","11","Papel                                    ","322","0","0","0","0"
"Añasco","11","Imprenta e Industrias Relacionadas       ","323","2","*","*","*"
"Añasco","11","Productos de Petróleo y Carbón           ","324","0","0","0","0"
"Añasco","11","Productos Químicos                       ","325","1","*","*","*"
"Añasco","11","Productos de Goma y Plásticos            ","326","1","*","*","*"
"Añasco","11","Productos Minerales no Metálicos         ","327","0","0","0","0"
"Añasco","11","Industrias de Materiales Primarios       ","331","0","0","0","0"
"Añasco","11","Productos de Metal                       ","332","6","56","268892","4802"
"Añasco","11","Maquinaria                               ","333","1","*","*","*"
"Añasco","11","Computadora y Productos Electrónicos    ","334","0","0","0","0"
"Añasco","11","Equipo y Aparatos Eléctricos             ","335","1","*","*","*"
"Añasco","11","Equipo de Transportación                 ","336","0","0","0","0"
"Añasco","11","Muebles y Productos Relacionados         ","337","2","*","*","*"
"Añasco","11","Industrias Manufactureras Misceláneas    ","339","7","3136","31676183","10102"
"Añasco","11","Comercio al por Mayor                    ","42","9","92","1003221","10944"
"Añasco","11","Comercio al Detal                        ","44-45","56","593","3143321","5298"
"Añasco","11","Transportación y Almacenamiento           ","48-49","7","47","214218","4526"
"Añasco","11","Información                              ","51","3","19","263132","13610"
"Añasco","11","Finanzas y Seguros                       ","52","3","*","*","*"
"Añasco","11","Bienes Raíces, Renta o Arrendamiento     ","53","10","20","81201","4060"
"Añasco","11","Servicios Profesionales y Técnicos       ","54","14","64","519242","8071"
"Añasco","11","Gerencia de Companías y Empresas         ","55","0","0","0","0"
