"MUNICIPIO","CTY","INDUSTRIA","NAICS","UNIDADES","EMPLEO PROMEDIO","SALRIO Total Municipio Primr Trimestre 2022","Promedio"
"Aibonito","9","Productos Textiles Excepto Ropa          ","314","0","0","0","0"
"Aibonito","9","Ropa                                     ","315","1","*","*","*"
"Aibonito","9","Cuero y Productos Relacionados           ","316","0","0","0","0"
"Aibonito","9","Productos de Madera                      ","321","0","0","0","0"
"Aibonito","9","Papel                                    ","322","0","0","0","0"
"Aibonito","9","Imprenta e Industrias Relacionadas       ","323","1","*","*","*"
"Aibonito","9","Productos de Petróleo y Carbón           ","324","0","0","0","0"
"Aibonito","9","Productos Químicos                       ","325","1","*","*","*"
"Aibonito","9","Productos de Goma y Plásticos            ","326","0","0","0","0"
"Aibonito","9","Productos Minerales no Metálicos         ","327","1","*","*","*"
"Aibonito","9","Industrias de Materiales Primarios       ","331","0","0","0","0"
"Aibonito","9","Productos de Metal                       ","332","0","0","0","0"
"Aibonito","9","Maquinaria                               ","333","0","0","0","0"
"Aibonito","9","Computadora y Productos Electrónicos    ","334","0","0","0","0"
"Aibonito","9","Equipo y Aparatos Eléctricos             ","335","1","*","*","*"
"Aibonito","9","Equipo de Transportación                 ","336","1","*","*","*"
"Aibonito","9","Muebles y Productos Relacionados         ","337","2","*","*","*"
"Aibonito","9","Industrias Manufactureras Misceláneas    ","339","1","*","*","*"
"Aibonito","9","Comercio al por Mayor                    ","42","8","  56 ","  289,707 ","  5,173 "
"Aibonito","9","Comercio al Detal                        ","44-45","78","  690 ","  3,218,651 ","  4,662 "
"Aibonito","9","Transportación y Almacenamiento           ","48-49","7","  76 ","  475,898 ","  6,289 "
"Aibonito","9","Información                              ","51","1","*","*","*"
"Aibonito","9","Finanzas y Seguros                       ","52","9","  161 ","  1,592,136 ","  9,910 "
"Aibonito","9","Bienes Raíces, Renta o Arrendamiento     ","53","3","  8 ","  57,770 ","  7,221 "
"Aibonito","9","Servicios Profesionales y Técnicos       ","54","22","  64 ","  376,468 ","  5,852 "
"Aibonito","9","Gerencia de Companías y Empresas         ","55","0","0","0","0"
"Aibonito","9","Servicios Adm. y Desperdicios Sólidos    ","56","6","*","*","*"
"Aibonito","9","Servicios Educativos                     ","61","3","441","2837443 ","6439 "
"Aibonito","9","Servicios de Salud y Asistencia Social   ","62","63","  1,545 ","  13,322,973 ","  8,625 "
"Aibonito","9","Arte, Entretenimiento y Recreación       ","71","0","0","0","0"
"Aibonito","9","Alojamiento y Servicios de Alimentos     ","72","31","  327 ","  889,778 ","  2,724 "
"Aibonito","9","Otros Servicios Excepto Adm. Pública     ","81","16","  45 ","  180,938 ","  4,051 "
"Aibonito","9","Administración Pública                   ","92","14","725","4600743 ","6343 "
"Aibonito","9","Otros (Establecimientos no Clasificados) ","99","6","  25 ","  149,515 ","  6,061 "
"Añasco","11","Total Municipio Primer Trimestre 2022 ","","280","  5,995 ","  45,397,891 ","  7,573 "
"Añasco","11","Agricultura, Bosque, Pesca y Caza        ","11","12","  33 ","  66,476 ","  1,994 "
"Añasco","11","Mineria                                  ","21","1","*","*","*"
"Añasco","11","Electricidad, Agua y Gas                 ","22","1","*","*","*"
"Añasco","11","Construcción                             ","23","13","  63 ","  298,521 ","  4,764 "
"Añasco","11","Manufactura                              ","31-33","33","  3,260 ","  32,459,871 ","  9,958 "
"Añasco","11","Alimentos                                ","311","11","  50 ","  121,687 ","  2,450 "
"Añasco","11","Productos de Tabaco y Bebidas            ","312","0","0","0","0"
"Añasco","11","Textiles                                 ","313","0","0","0","0"
"Añasco","11","Productos Textiles Excepto Ropa          ","314","0","0","0","0"
"Añasco","11","Ropa                                     ","315","1","*","*","*"
"Añasco","11","Cuero y Productos Relacionados           ","316","0","0","0","0"
"Añasco","11","Productos de Madera                      ","321","0","0","0","0"
