"fipstate","fipscty","naics","empflag","emp","qp1","ap","est","n1_4","n5_9","n10_19","n20_49","n50_99","n100_249","n250_499","n500_999","n1000","n1000_1","n1000_2","n1000_3","n1000_4","censtate","cencty"
"72","001","4521//","A",0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,"06","001"
"72","001","45211/","A",0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,"06","001"
"72","001","452112","A",0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,"06","001"
"72","001","4529//","A",0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,"06","001"
"72","001","45299/","A",0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,"06","001"
"72","001","452990","A",0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,"06","001"
"72","001","453///","A",0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,"06","001"
"72","001","4532//","A",0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,"06","001"
"72","001","45322/","A",0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,"06","001"
"72","001","453220","A",0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,"06","001"
"72","001","454///","A",0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,"06","001"
"72","001","4542//","A",0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,"06","001"
"72","001","45421/","A",0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,"06","001"
"72","001","454210","A",0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,"06","001"
"72","001","4543//","A",0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,"06","001"
"72","001","45431/","A",0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,"06","001"
"72","001","454312","A",0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,"06","001"
"72","001","48----","B",0,0,0,4,3,0,1,0,0,0,0,0,0,0,0,0,0,"06","001"
"72","001","484///","A",0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,"06","001"
"72","001","4841//","A",0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,"06","001"
"72","001","48411/","A",0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,"06","001"
"72","001","484110","A",0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,"06","001"
"72","001","485///","A",0,0,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,"06","001"
"72","001","4851//","A",0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,"06","001"
"72","001","48511/","A",0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,"06","001"
"72","001","485113","A",0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,"06","001"
"72","001","4854//","A",0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,"06","001"
"72","001","48541/","A",0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,"06","001"
"72","001","485410","A",0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,"06","001"
"72","001","488///","A",0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,"06","001"
"72","001","4883//","A",0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,"06","001"
"72","001","48832/","A",0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,"06","001"
"72","001","488320","A",0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,"06","001"
"72","001","52----",,22,220,1139,3,0,2,1,0,0,0,0,0,0,0,0,0,0,"06","001"
"72","001","522///",,22,220,1139,3,0,2,1,0,0,0,0,0,0,0,0,0,0,"06","001"
"72","001","5221//","A",0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,"06","001"
"72","001","52213/","A",0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,"06","001"
"72","001","522130","A",0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,"06","001"
"72","001","5222//","A",0,0,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0,"06","001"
"72","001","52221/","A",0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,"06","001"
"72","001","522210","A",0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,"06","001"
"72","001","52229/","A",0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,"06","001"
"72","001","522291","A",0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,"06","001"
"72","001","53----",,14,47,192,3,1,2,0,0,0,0,0,0,0,0,0,0,0,"06","001"
"72","001","531///","A",0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,"06","001"
"72","001","5311//","A",0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,"06","001"
"72","001","53111/","A",0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,"06","001"
"72","001","531110","A",0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,"06","001"
"72","001","532///","A",0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,"06","001"
"72","001","5322//","A",0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,"06","001"
"72","001","53223/","A",0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,"06","001"
"72","001","532230","A",0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,"06","001"
"72","001","54----",,9,35,120,6,6,0,0,0,0,0,0,0,0,0,0,0,0,"06","001"
"72","001","541///",,9,35,120,6,6,0,0,0,0,0,0,0,0,0,0,0,0,"06","001"
"72","001","5411//","A",0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,"06","001"
"72","001","54111/","A",0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,"06","001"
"72","001","541110","A",0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,"06","001"
"72","001","54119/",,4,9,47,3,3,0,0,0,0,0,0,0,0,0,0,0,0,"06","001"
"72","001","541199",,4,9,47,3,3,0,0,0,0,0,0,0,0,0,0,0,0,"06","001"
"72","001","5413//","A",0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,"06","001"
"72","001","54133/","A",0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,"06","001"
"72","001","541330","A",0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,"06","001"
"72","001","5416//","A",0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,"06","001"
"72","001","54162/","A",0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,"06","001"
"72","001","541620","A",0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,"06","001"
"72","001","56----","A",0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,"06","001"
"72","001","561///","A",0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,"06","001"
"72","001","5617//","A",0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,"06","001"
"72","001","56179/","A",0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,"06","001"
"72","001","561790","A",0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,"06","001"
"72","001","61----","B",0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,"06","001"
"72","001","611///","B",0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,"06","001"
"72","001","6111//","B",0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,"06","001"
"72","001","61111/","B",0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,"06","001"
"72","001","611110","B",0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,"06","001"
"72","001","62----",,114,378,1691,20,11,6,2,1,0,0,0,0,0,0,0,0,0,"06","001"
"72","001","621///","B",0,0,0,16,10,4,1,1,0,0,0,0,0,0,0,0,0,"06","001"
"72","001","6211//",,9,18,104,7,7,0,0,0,0,0,0,0,0,0,0,0,0,"06","001"
"72","001","62111/",,9,18,104,7,7,0,0,0,0,0,0,0,0,0,0,0,0,"06","001"
"72","001","621111",,9,18,104,7,7,0,0,0,0,0,0,0,0,0,0,0,0,"06","001"
"72","001","6212//","A",0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,"06","001"
"72","001","62121/","A",0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,"06","001"
"72","001","621210","A",0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,"06","001"
"72","001","6214//","A",0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,"06","001"
"72","001","62149/","A",0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,"06","001"
"72","001","621493","A",0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,"06","001"
"72","001","6215//",,9,48,190,4,3,1,0,0,0,0,0,0,0,0,0,0,0,"06","001"
"72","001","62151/",,9,48,190,4,3,1,0,0,0,0,0,0,0,0,0,0,0,"06","001"
"72","001","621511","A",0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,"06","001"
"72","001","621512","A",0,0,0,3,2,1,0,0,0,0,0,0,0,0,0,0,0,"06","001"
"72","001","6216//","B",0,0,0,2,0,0,1,1,0,0,0,0,0,0,0,0,0,"06","001"
"72","001","62161/","B",0,0,0,2,0,0,1,1,0,0,0,0,0,0,0,0,0,"06","001"
"72","001","621610","B",0,0,0,2,0,0,1,1,0,0,0,0,0,0,0,0,0,"06","001"
"72","001","6219//","A",0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,"06","001"
"72","001","62199/","A",0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,"06","001"
"72","001","621999","A",0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,"06","001"
"72","001","623///","A",0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,"06","001"
"72","001","6233//","A",0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,"06","001"
"72","001","62331/","A",0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,"06","001"
"72","001","623312","A",0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,"06","001"
"72","001","624///","A",0,0,0,3,1,2,0,0,0,0,0,0,0,0,0,0,0,"06","001"
"72","001","6241//","A",0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,"06","001"
"72","001","62411/","A",0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,"06","001"
"72","001","624110","A",0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,"06","001"
"72","001","6242//","A",0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,"06","001"
"72","001","62422/","A",0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,"06","001"
"72","001","624229","A",0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,"06","001"
"72","001","6244//","A",0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,"06","001"
"72","001","62441/","A",0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,"06","001"
"72","001","624410","A",0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,"06","001"
"72","001","71----","A",0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,"06","001"
"72","001","713///","A",0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,"06","001"
"72","001","7139//","A",0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,"06","001"
"72","001","71394/","A",0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,"06","001"
