"MUNICIPIO","CTY","INDUSTRIA","NAICS","UNIDADES","EMPLEO PROMEDIO","SALARIO TOTAL","Promedio","","","","","","","","","","","","","","","","","","",""
"Aguas Buenas","7","Alojamiento y Servicios de Alimentos     ","72","11","92","283356","3069","","","","","","","","","","","","","","","","","","",""
"Aguas Buenas","7","Otros Servicios Excepto Adm. Pública     ","81","7","15","53977","3598","","","","","","","","","","","","","","","","","","",""
"Aguas Buenas","7","Administracion Pública                   ","92","10","  403 ","  1,650,549 ","  4,096 ","","","","","","","","","","","","","","","","","","",""
"Aguas Buenas","7","Otros (Establecimientos no Clasificados) ","99","0","0","0","0","","","","","","","","","","","","","","","","","","",""
"Aibonito","9","Total Municipio Tercer Trimestre 2020","","319","5689","35899208","6311","","","","","","","","","","","","","","","","","","",""
"Aibonito","9","Agricultura, Bosque, Pesca y Caza        ","11","28","158","575291","3633","","","","","","","","","","","","","","","","","","",""
"Aibonito","9","Mineria                                  ","21","0","0","0","0","","","","","","","","","","","","","","","","","","",""
"Aibonito","9","Electricidad, Agua y Gas                 ","22","1","*","*","*","","","","","","","","","","","","","","","","","","",""
"Aibonito","9","Construcción                             ","23","10","30","103789","3499","","","","","","","","","","","","","","","","","","",""
"Aibonito","9","Manufactura                              ","31-33","24","1423","11106363","7803","","","","","","","","","","","","","","","","","","",""
"Aibonito","9","Alimentos                                ","311","13","*","*","*","","","","","","","","","","","","","","","","","","",""
"Aibonito","9","Productos de Tabaco y Bebidas            ","312","2","*","*","*","","","","","","","","","","","","","","","","","","",""
"Aibonito","9","Textiles                                 ","313","0","0","0","0","","","","","","","","","","","","","","","","","","",""
"Aibonito","9","Productos Textiles Excepto Ropa          ","314","0","0","0","0","","","","","","","","","","","","","","","","","","",""
"Aibonito","9","Ropa                                     ","315","1","*","*","*","","","","","","","","","","","","","","","","","","",""
"Aibonito","9","Cuero y Productos Relacionados           ","316","0","0","0","0","","","","","","","","","","","","","","","","","","",""
"Aibonito","9","Productos de Madera                      ","321","0","0","0","0","","","","","","","","","","","","","","","","","","",""
"Aibonito","9","Papel                                    ","322","0","0","0","0","","","","","","","","","","","","","","","","","","",""
"Aibonito","9","Imprenta e Industrias Relacionadas       ","323","1","*","*","*","","","","","","","","","","","","","","","","","","",""
"Aibonito","9","Productos de Petróleo y Carbón           ","324","0","0","0","0","","","","","","","","","","","","","","","","","","",""
"Aibonito","9","Productos Químicos                       ","325","1","*","*","*","","","","","","","","","","","","","","","","","","",""
"Aibonito","9","Productos de Goma y Plásticos            ","326","0","0","0","0","","","","","","","","","","","","","","","","","","",""
"Aibonito","9","Productos Minerales no Metálicos         ","327","1","*","*","*","","","","","","","","","","","","","","","","","","",""
"Aibonito","9","Industrias de Materiales Primarios       ","331","0","0","0","0","","","","","","","","","","","","","","","","","","",""
"Aibonito","9","Productos de Metal                       ","332","0","0","0","0","","","","","","","","","","","","","","","","","","",""
"Aibonito","9","Maquinaria                               ","333","0","0","0","0","","","","","","","","","","","","","","","","","","",""
"Aibonito","9","Computadora y Productos Electrónicos    ","334","0","0","0","0","","","","","","","","","","","","","","","","","","",""
"Aibonito","9","Equipo y Aparatos Eléctricos             ","335","1","*","*","*","","","","","","","","","","","","","","","","","","",""
"Aibonito","9","Equipo de Transportación                 ","336","1","*","*","*","","","","","","","","","","","","","","","","","","",""
"Aibonito","9","Muebles y Productos Relacionados         ","337","2","*","*","*","","","","","","","","","","","","","","","","","","",""
"Aibonito","9","Industrias Manufactureras Misceláneas    ","339","1","*","*","*","","","","","","","","","","","","","","","","","","",""
"Aibonito","9","Comercio al por Mayor                    ","42","9","57","343039","6018","","","","","","","","","","","","","","","","","","",""
"Aibonito","9","Comercio al Detal                        ","44-45","73","640","2804598","4380","","","","","","","","","","","","","","","","","","",""
"Aibonito","9","Transportación y Almacenamiento           ","48-49","8","58","410121","7071","","","","","","","","","","","","","","","","","","",""
"Aibonito","9","Información                              ","51","0","0","0","0","","","","","","","","","","","","","","","","","","",""
"Aibonito","9","Finanzas y Seguros                       ","52","8","148","1320767","8904","","","","","","","","","","","","","","","","","","",""
"Aibonito","9","Bienes Raíces, Renta o Arrendamiento     ","53","3","15","71037","4843","","","","","","","","","","","","","","","","","","",""
"Aibonito","9","Servicios Profesionales y Técnicos       ","54","20","51","336054","6633","","","","","","","","","","","","","","","","","","",""
"Aibonito","9","Gerencia de Compañías y Empresas         ","55","0","0","0","0","","","","","","","","","","","","","","","","","","",""
"Aibonito","9","Servicios Adm. y Desperdicios Sólidos    ","56","5","*","*","*","","","","","","","","","","","","","","","","","","",""
"Aibonito","9","Servicios Educativos                     ","61","2","  399 ","  2,577,046 ","  6,459 ","","","","","","","","","","","","","","","","","","",""
"Aibonito","9","Servicios de Salud y Asistencia Social   ","62","63","1564","10433224","6671","","","","","","","","","","","","","","","","","","",""
"Aibonito","9","Arte, Entretenimiento y Recreación       ","71","1","*","*","*","","","","","","","","","","","","","","","","","","",""
"Aibonito","9","Alojamiento y Servicios de Alimentos     ","72","32","255","697582","2732","","","","","","","","","","","","","","","","","","",""
"Aibonito","9","Otros Servicios Excepto Adm. Pública     ","81","17","42","140288","3314","","","","","","","","","","","","","","","","","","",""
"Aibonito","9","Administracion Pública                   ","92","15","  748 ","  4,488,209 ","  6,003 ","","","","","","","","","","","","","","","","","","",""
"Aibonito","9","Otros (Establecimientos no Clasificados) ","99","0","0","0","0","","","","","","","","","","","","","","","","","","",""
"Añasco","11","Total Municipio Tercer Trimestre 2020","","263","4729","32508665","6875","","","","","","","","","","","","","","","","","","",""
"Añasco","11","Agricultura, Bosque, Pesca y Caza        ","11","12","28","48150","1740","","","","","","","","","","","","","","","","","","",""
"Añasco","11","Mineria                                  ","21","1","*","*","*","","","","","","","","","","","","","","","","","","",""
"Añasco","11","Electricidad, Agua y Gas                 ","22","1","*","*","*","","","","","","","","","","","","","","","","","","",""
"Añasco","11","Construcción                             ","23","11","56","254477","4544","","","","","","","","","","","","","","","","","","",""
"Añasco","11","Manufactura                              ","31-33","28","2366","21793960","9213","","","","","","","","","","","","","","","","","","",""
"Añasco","11","Alimentos                                ","311","10","41","83442","2019","","","","","","","","","","","","","","","","","","",""
"Añasco","11","Productos de Tabaco y Bebidas            ","312","0","0","0","0","","","","","","","","","","","","","","","","","","",""
"Añasco","11","Textiles                                 ","313","0","0","0","0","","","","","","","","","","","","","","","","","","",""
"Añasco","11","Productos Textiles Excepto Ropa          ","314","0","0","0","0","","","","","","","","","","","","","","","","","","",""
"Añasco","11","Ropa                                     ","315","0","0","0","0","","","","","","","","","","","","","","","","","","",""
"Añasco","11","Cuero y Productos Relacionados           ","316","0","0","0","0","","","","","","","","","","","","","","","","","","",""
"Añasco","11","Productos de Madera                      ","321","0","0","0","0","","","","","","","","","","","","","","","","","","",""
"Añasco","11","Papel                                    ","322","0","0","0","0","","","","","","","","","","","","","","","","","","",""
"Añasco","11","Imprenta e Industrias Relacionadas       ","323","2","*","*","*","","","","","","","","","","","","","","","","","","",""
"Añasco","11","Productos de Petróleo y Carbón           ","324","0","0","0","0","","","","","","","","","","","","","","","","","","",""
"Añasco","11","Productos Químicos                       ","325","0","0","0","0","","","","","","","","","","","","","","","","","","",""
"Añasco","11","Productos de Goma y Plásticos            ","326","1","*","*","*","","","","","","","","","","","","","","","","","","",""
"Añasco","11","Productos Minerales no Metálicos         ","327","0","0","0","0","","","","","","","","","","","","","","","","","","",""
"Añasco","11","Industrias de Materiales Primarios       ","331","0","0","0","0","","","","","","","","","","","","","","","","","","",""
"Añasco","11","Productos de Metal                       ","332","6","46","176677","3841","","","","","","","","","","","","","","","","","","",""
"Añasco","11","Maquinaria                               ","333","0","0","0","0","","","","","","","","","","","","","","","","","","",""
"Añasco","11","Computadora y Productos Electrónicos    ","334","0","0","0","0","","","","","","","","","","","","","","","","","","",""
"Añasco","11","Equipo y Aparatos Eléctricos             ","335","1","*","*","*","","","","","","","","","","","","","","","","","","",""
"Añasco","11","Equipo de Transportación                 ","336","0","0","0","0","","","","","","","","","","","","","","","","","","",""
"Añasco","11","Muebles y Productos Relacionados         ","337","1","*","*","*","","","","","","","","","","","","","","","","","","",""
"Añasco","11","Industrias Manufactureras Misceláneas    ","339","7","2050","19701193","9610","","","","","","","","","","","","","","","","","","",""
"Añasco","11","Comercio al por Mayor                    ","42","10","97","647917","6703","","","","","","","","","","","","","","","","","","",""
